ow	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
54	0BrbPbwCMz	Unit ES_04, Section ES_04-4	EG54	3	5/4+3 = x	2005-09-09 12:44:19.0	2005-09-09 12:44:35.0	2005-09-09 12:44:35.0	2005-09-09 12:44:35.0	16	16		1	0	0	1	[SkillRule: Consolidate vars, no coeff; CLT]	3
55	0BrbPbwCMz	Unit ES_04, Section ES_04-4	EG54	3	FinalAnswer	2005-09-09 12:44:35.0	2005-09-09 12:44:48.0	2005-09-09 12:44:48.0	2005-09-09 12:44:48.0	13	13		1	0	0	1	simplify-fractions-sp~~combine-like-terms-sp	3~~4
56	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55A	1	0.1 = -42.3(y-83.7)	2005-09-09 12:44:58.0	2005-09-09 12:45:42.0	2005-09-09 12:45:42.0	2005-09-09 12:45:42.0	44	44		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	9
57	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55A	1	-0.00236407 = y-83.7	2005-09-09 12:45:42.0	2005-09-09 12:45:56.0	2005-09-09 12:45:56.0	2005-09-09 12:45:56.0	14	14		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	17~~2
58	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	1	1.8(y-9.8) = -2.4	2005-09-09 12:46:01.0	2005-09-09 12:46:48.0	2005-09-09 12:46:57.0	2005-09-09 12:46:57.0	56		56	0	1	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	10
59	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	1	y-9.8 = -1.33333333	2005-09-09 12:46:57.0	2005-09-09 12:47:49.0	2005-09-09 12:48:21.0	2005-09-09 12:48:21.0	84		84	0	1	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	18~~3
60	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	2	-5.5(y-1.9) = -9.6	2005-09-09 12:48:26.0	2005-09-09 12:49:24.0	2005-09-09 12:49:24.0	2005-09-09 12:49:24.0	58	58		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	11
61	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	2	y-1.9 = 1.74545455	2005-09-09 12:49:24.0	2005-09-09 12:51:10.0		2005-09-09 12:51:17.0	113		113	0	2	0	0	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	19~~4
62	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	3	0.1(x+3.9) = -3.9	2005-09-14 12:15:07.0	2005-09-14 12:15:34.0	2005-09-14 12:16:19.0	2005-09-14 12:16:19.0	72		72	0	3	3	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	12
63	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	3	x+3.9 = -39	2005-09-14 12:16:19.0	2005-09-14 12:17:00.0	2005-09-14 12:17:00.0	2005-09-14 12:17:00.0	41	41		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive]	20~~2
64	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55A	2	-66.4(y-73.3) = 2.6	2005-09-14 12:17:10.0	2005-09-14 12:17:25.0	2005-09-14 12:17:25.0	2005-09-14 12:17:25.0	15	15		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	13
65	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55A	2	y-73.3 = -0.03915663	2005-09-14 12:17:25.0	2005-09-14 12:17:37.0	2005-09-14 12:17:48.0	2005-09-14 12:17:48.0	23		23	0	1	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	21~~5
66	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	4	9.2 = -3.4(y-6.7)	2005-09-14 12:17:52.0	2005-09-14 12:18:01.0	2005-09-14 12:18:13.0	2005-09-14 12:18:13.0	21		21	0	1	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	14
67	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	4	-2.70588235 = y-6.7	2005-09-14 12:18:13.0	2005-09-14 12:18:42.0	2005-09-14 12:18:42.0	2005-09-14 12:18:42.0	29	29		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	22~~6
68	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	5	2.6 = 6.6(x-1.2)	2005-09-14 12:18:48.0	2005-09-14 12:19:00.0	2005-09-14 12:19:00.0	2005-09-14 12:19:00.0	12	12		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	15
69	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	5	0.39393939 = x-1.2	2005-09-14 12:19:00.0	2005-09-14 12:19:07.0	2005-09-14 12:19:07.0	2005-09-14 12:19:07.0	7	7		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	23~~7
70	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	6	0.3(y+4.4) = 6.5	2005-09-14 12:19:12.0	2005-09-14 12:19:56.0	2005-09-14 12:19:56.0	2005-09-14 12:19:56.0	44	44		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	16
71	0BrbPbwCMz	Unit ES_04, Section ES_04-5	EG55	6	y+4.4 = 21.66666667	2005-09-14 12:19:56.0	2005-09-14 12:20:04.0	2005-09-14 12:20:04.0	2005-09-14 12:20:04.0	8	8		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive]	24~~3
72	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55	1	-6.6(y+6.9) = 7.8	2005-09-14 12:20:12.0	2005-09-14 12:20:48.0	2005-09-14 12:20:48.0	2005-09-14 12:20:48.0	36	36		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	17
73	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55	1	-6.6(y+6.9)/-6.6 = 7.8/-6.6	2005-09-14 12:20:48.0	2005-09-14 12:20:57.0	2005-09-14 12:20:57.0	2005-09-14 12:21:10.0	22	22		1	0	0	2	[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]]	4
74	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55	1	y+6.9 = 7.8/-6.6	2005-09-14 12:21:10.0	2005-09-14 12:21:17.0	2005-09-14 12:21:17.0	2005-09-14 12:21:17.0	7	7		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	25
75	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55	1	y+6.9-6.9 = 7.8/-6.6-6.9	2005-09-14 12:21:17.0	2005-09-14 12:21:21.0	2005-09-14 12:21:21.0	2005-09-14 12:22:58.0	101	101		1	3	2	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	8
76	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55	1	y = 7.8/-6.6-6.9	2005-09-14 12:22:58.0	2005-09-14 12:23:10.0	2005-09-14 12:24:47.0	2005-09-14 12:24:47.0	109		109	0	2	2	1		
77	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55	1	FinalAnswer	2005-09-14 12:24:47.0	2005-09-14 12:25:48.0	2005-09-14 12:25:48.0	2005-09-14 12:26:47.0	82	82		1	0	0	2	simplify-fractions-sp~~combine-like-terms-sp	4~~5
78	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55	1	y = -1.1818-6.9	2005-09-14 12:25:48.0	2005-09-14 12:26:01.0	2005-09-14 12:26:26.0	2005-09-14 12:26:26.0	38		38	0	2	2	1	[SkillRule: Select Combine Terms; CLT]~~[SkillRule: Consolidate vars, no coeff; CLT]	1~~4
79	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-2 = 94.4(x+1.8)	2005-09-14 12:26:55.0	2005-09-14 12:27:57.0	2005-09-14 12:27:57.0	2005-09-14 12:38:55.0	643	643		1	4	1	3	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	18
80	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-2/94.4 = 94.4(x+1.8)/94.4	2005-09-14 12:27:57.0	2005-09-14 12:28:13.0	2005-09-14 12:29:29.0	2005-09-14 12:30:07.0	77		77	0	3	2	2	[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]]	5
81	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	FinalAnswer	2005-09-14 12:38:55.0	2005-09-14 12:39:45.0	2005-09-14 12:39:45.0	2005-09-14 12:47:16.0	105	105		1	1	0	4	distribute-sp~~simplify-fractions-sp~~combine-like-terms-sp	1~~5~~6
82	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-2 = 94.4x+169.92	2005-09-14 12:39:45.0	2005-09-14 12:40:01.0	2005-09-14 12:41:18.0	2005-09-14 12:41:18.0	93		93	0	1	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	26
83	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-2-169.92 = 94.4x+169.92-169.92	2005-09-14 12:41:18.0	2005-09-14 12:41:29.0	2005-09-14 12:41:29.0	2005-09-14 12:42:47.0	89	89		1	3	0	3	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]~~[SkillRule: Consolidate vars with coeff; CLT]	9~~2
84	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-171.92 = 94.4x+169.92-169.92	2005-09-14 12:43:17.0	2005-09-14 12:43:29.0	2005-09-14 12:43:29.0	2005-09-14 12:43:29.0	12	12		1	0	0	1	[SkillRule: Consolidate vars with coeff; CLT]	3
85	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	x1R1	2005-09-14 12:43:29.0	2005-09-14 12:44:32.0	2005-09-14 12:44:32.0	2005-09-14 12:44:32.0	63	63		1	0	0	1		
86	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	constant terms1R1	2005-09-14 12:44:32.0	2005-09-14 12:44:41.0	2005-09-14 12:44:41.0	2005-09-14 12:44:41.0	9	9		1	0	0	1		
87	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	constant terms2R1	2005-09-14 12:44:41.0	2005-09-14 12:44:45.0	2005-09-14 12:44:45.0	2005-09-14 12:44:45.0	4	4		1	0	0	1		
88	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	xR2	2005-09-14 12:44:45.0	2005-09-14 12:44:59.0	2005-09-14 12:44:59.0	2005-09-14 12:44:59.0	14	14		1	0	0	1		
89	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-171.92 = 94.4x+0	2005-09-14 12:45:04.0	2005-09-14 12:46:49.0	2005-09-14 12:46:56.0	2005-09-14 12:46:56.0	112		112	0	1	2	1	[SkillRule: Consolidate vars with coeff; CLT]	4
90	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-171.92 = 94.4x	2005-09-14 12:47:16.0	2005-09-14 12:47:35.0	2005-09-14 12:47:35.0	2005-09-14 12:47:35.0	19	19		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	5~~9
91	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	1	-171.92/94.4 = 94.4x/94.4	2005-09-14 12:47:35.0	2005-09-14 12:47:39.0	2005-09-14 12:47:39.0	2005-09-14 12:47:51.0	16	16		1	0	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	5
92	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	2	66.8(y+68.4) = -2.8	2005-09-14 12:47:56.0	2005-09-14 12:48:29.0	2005-09-14 12:48:29.0	2005-09-14 12:48:29.0	33	33		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	19
93	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	2	FinalAnswer	2005-09-14 12:48:29.0	2005-09-14 12:49:10.0	2005-09-14 12:49:10.0	2005-09-14 12:49:10.0	41	41		1	0	0	1	distribute-sp~~simplify-fractions-sp~~combine-like-terms-sp	2~~6~~7
94	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	2	66.8y+4569.12 = -2.8	2005-09-14 12:49:10.0	2005-09-14 12:49:31.0	2005-09-14 12:49:31.0	2005-09-14 12:49:31.0	21	21		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	27
95	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	2	66.8y+4569.12-4569.12 = -2.8-4569.12	2005-09-14 12:49:31.0	2005-09-14 12:49:39.0	2005-09-14 12:49:39.0	2005-09-14 12:49:54.0	23	23		1	0	0	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	10
96	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	3	-29.5(y-6.2) = 8.7	2005-09-16 12:16:46.0	2005-09-16 12:21:34.0	2005-09-16 12:22:30.0	2005-09-16 12:22:30.0	344		344	0	3	3	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	20
97	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	3	-29.5(y-6.2)/-29.5 = 8.7/-29.5	2005-09-16 12:22:30.0	2005-09-16 12:22:44.0	2005-09-16 12:22:44.0	2005-09-16 12:23:00.0	30	30		1	0	0	2	[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]]	6
98	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	3	y-6.2 = 8.7/-29.5	2005-09-16 12:23:00.0	2005-09-16 12:23:07.0	2005-09-16 12:23:14.0	2005-09-16 12:23:14.0	14		14	0	0	2	1		
99	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	3	FinalAnswer	2005-09-16 12:23:14.0	2005-09-16 12:23:49.0	2005-09-16 12:24:57.0	2005-09-16 12:24:57.0	103		103	0	1	0	1	distribute-sp~~simplify-fractions-sp~~combine-like-terms-sp	3~~7~~8
100	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	3	y-6.2 = -0.294915	2005-09-16 12:24:57.0	2005-09-16 12:25:09.0	2005-09-16 12:25:09.0	2005-09-16 12:25:09.0	12	12		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	28~~8
101	0BrbPbwCMz	Unit ES_04, Section ES_04-6	EG55A	3	y-6.2+6.2 = -0.294915+6.2	2005-09-16 12:25:09.0	2005-09-16 12:25:12.0	2005-09-16 12:25:12.0	2005-09-16 12:26:24.0	75	75		1	1	0	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	11
102	0BrbPbwCMz	Unit ES_04, Section ES_04-7	EG56	1	63.23 = -70.54(y+43.24)	2005-09-16 12:26:30.0	2005-09-16 12:26:51.0	2005-09-16 12:26:51.0	2005-09-16 12:26:51.0	21	21		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	21
103	0BrbPbwCMz	Unit ES_04, Section ES_04-7	EG56	1	-0.89637085 = y+43.24	2005-09-16 12:26:51.0	2005-09-16 12:27:05.0	2005-09-16 12:27:18.0	2005-09-16 12:27:18.0	27		27	0	1	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive]	29~~4
104	0BrbPbwCMz	Unit ES_04, Section ES_04-7	EG56A	1	3176.11 = 5420.96(y+214.07)	2005-09-16 12:27:29.0	2005-09-16 12:27:53.0	2005-09-16 12:27:53.0	2005-09-16 12:27:53.0	24	24		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	22
105	0BrbPbwCMz	Unit ES_04, Section ES_04-7	EG56A	1	0.58589438 = y+214.07	2005-09-16 12:27:53.0	2005-09-16 12:28:01.0	2005-09-16 12:28:01.0	2005-09-16 12:28:01.0	8	8		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive]	30~~5
106	0BrbPbwCMz	Unit ES_04, Section ES_04-7	EG56	2	-98.71(y-75.18) = -37.84	2005-09-16 12:28:06.0	2005-09-16 12:28:39.0	2005-09-16 12:28:39.0	2005-09-16 12:28:39.0	33	33		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	23
107	0BrbPbwCMz	Unit ES_04, Section ES_04-7	EG56	2	y-75.18 = 0.38334515	2005-09-16 12:28:39.0	2005-09-16 12:29:01.0	2005-09-16 12:29:01.0	2005-09-16 12:29:01.0	22	22		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	31~~9
108	0BrbPbwCMz	Unit ES_04, Section ES_04-8	EG56A	1	3282.87(y-3434.5) = 1955.17	2005-09-16 12:29:07.0	2005-09-16 12:29:54.0	2005-09-16 12:29:54.0	2005-09-16 12:29:54.0	47	47		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	24
109	0BrbPbwCMz	Unit ES_04, Section ES_04-8	EG56A	1	3282.87(y-3434.5)/3282.87 = 1955.17/3282.87	2005-09-16 12:29:54.0	2005-09-16 12:30:04.0	2005-09-16 12:30:04.0	2005-09-16 12:30:22.0	28	28		1	0	0	2	[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]]	7
110	0BrbPbwCMz	Unit ES_04, Section ES_04-8	EG56A	1	y-3434.5 = 1955.17/3282.87	2005-09-16 12:30:22.0	2005-09-16 12:30:36.0	2005-09-16 12:30:36.0	2005-09-16 12:30:36.0	14	14		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	32
